GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
090715B,265.39,66.3475,L,,Swift,1.334842220762897,6.369420993421477,3.6471185894655975,2.7322469522886195,3.0,,L,,,,,,,,,,,,,,,15135612484.362072,,,"Li 2016, Perley 2016"
090726A,56.68,15.277628032345014,L,,Swift,,,,,2.71,,L,,,,,,,,,,,,,,,,,,Li 2016
090809A,7.84,2.097939523682098,L,,Swift,1.5710142651460344,11.002461966242098,5.456447086616963,3.473200217001057,2.737,,L,,,,,,,,,,,0.2691534803926916,0.0553572714424683,0.0696906757465109,A/Si,,,,Li 2016
090812,66.7,19.32213209733488,L,,Swift,1.7193728130776824,14.93000822186355,6.834552982187346,3.9750267831404615,2.452,,L,,,,,,,,,,,0.0229086765276777,,,A/Si,2238721138.568338,,,Perley 2016
090814A,78.22,46.12028301886792,L,,Swift,1.11586109178104,3.514957972677025,2.354886967992197,2.110376448589611,0.696,,L,,,,,,,,,,,,,,,1122018454.3019652,,,"Li 2016, Perley 2016"
090902B,19.328,6.849043231750531,L,,Fermi,,,,,1.822,,L,,,,,,,,,,,,,,,,,,Li 2016
090926B,99.28,44.26806973737013,L,,Swift,,,,,1.2427,,L,,,,26.0,11.0,19.0,H alpha,2.07e-09,,,0.4466835921509631,0.1446884201107615,0.1842737523292301,E,12589254117.941662,8608182412.406693,19033522483.74213,Li 2016
090927A,2.16,0.9113924050632912,L,,Swift,,,,,1.37,,L,,,,,,,,,,,,,,,,,,Li 2016
091018,4.4,2.2323693556570268,L,,Swift,0.8093009138615379,1.2332183010305462,1.0914150992625835,1.348589975087205,0.971,,,,,,1.29,0.32,3.46,H alpha,3.9000000000000005e-10,,,1.2302687708123816,0.4359405360881001,0.6318183658504859,E,4168693834.7033463,681043222.9305263,669760490.7090616,Perley 2016
091029,39.2,10.447761194029852,L,,Swift,1.0842764727876568,3.1976439607233407,2.196646157060693,2.0259096385381787,2.752,,,,,,,,,,,,,,,,,6456542290.346562,,,Perley 2016
091109B,0.3,0.0736015701668302,S,,Swift,2.4448939469825017,49.93786451216134,16.67899568484364,6.821971032906735,3.076,,S,4.22,,0.41,4.2,,,UV,2.3618335657994663e-09,,,,,,,1778279410.0389228,,,"Fong 2022, Li 2016"
091127,7.1,4.76510067114094,L,SN,Swift,0.9841468905247684,2.3272337441261977,1.7392419968676285,1.767258539972856,0.49,,,1.335,,0.296,0.37,0.07,0.1,H alpha,1.8499999999999998e-09,,,0.239883291901949,0.0885271670583282,0.1231947628681523,E,457088189.6148752,,,"Blanchard 2016, Perley 2016, SNTABLE"
091208B,14.9,7.221441380313091,L,,Swift,1.179831170384486,4.225713749163721,2.696435522375172,2.285441841222462,1.0633,,,,,,,,,,,,,,,,,190546071.79632443,,,"Li 2016, Perley 2016"
