GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
000131,96.3,31.673464017892385,L,,Uly/Ko/NE,,,,,2.0404,Interacting,L,,,,17.9,,,UV,,,,,0.015,,,,,,"Wainwright 2005, Andersen 2000"
000210,9.0,4.875406283856988,L,,BeppoSAX,,,,,0.846,,L,,,,2.28,,,[OII],1.1200000000000003e-09,,,0.3235936569296282,0.0665540786527418,0.0837866208744844,E/KK04,1995262314.9688828,343494292.2077856,412970971.0155022,Leibler 2010
000301C,87.0,28.61465596632022,L,,BeppoSAX,,,,,2.0404,Irregular,L,0.622,,0.063,,,,,,,,,,,,,,,"Bloom 2002, Li 2016, Wainwright 2005"
000418,2.288,1.0802644003777149,L,,BATSE,,,,,1.118,Elliptical,L,0.202,,0.564,10.35,,,[OII],5.690000000000001e-09,,,0.5128613839913648,,,E/KK04,1995262314.9688828,501444120.05357766,692185572.8995996,"Bloom 2002, Conselice 2005, Leibler 2010"
000911,500.0,242.9543245869777,L,SN,Uly/Ko/NE,,,,,1.058,,L,,,,1.57,,,[OII],7.5e-10,,,0.2570395782768864,0.1924741553734208,0.7662534140038677,E/KK04,794328234.7242821,941142509.3571568,1712597832.3515718,"Leibler 2010, SNTABLE"
000926,25.0,8.229368971987228,L,,WFPC2,,,,,2.0379,Spiral,L,7.2,,,4.46,0.28,0.28,Lya,1.35e-09,,,0.5011872336272722,,,A/Zn,3311311214.8259077,2832681122.5032697,19597365312.85179,"Conselice 2005, Wainwright 2005"
010222,74.0,29.838709677419356,L,,WFPC2,,,,,1.48,Interacting,L,5.6,,,0.34,,,UV,5.1e-10,,,,,,,398107170.5534969,297615393.2374947,541570986.6098166,"Conselice 2005, Leibler 2010"
010921,34.8,23.983459682977255,L,,HETE2,,,,,0.451,Spiral,L,5.3,,,0.7,,0.32,O[II],5.1e-10,,,0.354813389233576,0.0729750961071299,0.0918702029173874,log(O/H),3630780547.7010174,812397616.4365568,836055373.8086176,"Conselice 2005, Levesque 2010, Mannucci 2011, Wainwright 2005"
011030,1400.0,350.0,L,,STIS,,,,,3.0,Spiral,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
011121,47.0,34.50807635829662,L,SN,WFPC2,,,,,0.362,Spiral,L,16.0,,,3.3,,0.05,H alpha,3.5e-10,,,1.4791083881682072,0.3826301920250243,0.1804785192693558,log(O/H),3162277660.1683793,2091383967.9448967,3093383569.8678064,"Conselice 2005, Leibler 2010, Mannucci 2011, Wainwright 2005, SNTABLE"
011211,51.0,16.24203821656051,L,,WFPC2,,,,,2.14,Interacting,L,12.3,,,0.8,0.2,0.2,Lya,1.4000000000000003e-10,,,0.0602559586074357,,,A/Si,5888436553.555884,3893174238.5870094,11489571733.937878,"Conselice 2005, Wainwright 2005"
020124A,51.17,12.18913768461172,L,,HETE-2,,,,,3.198,,L,,,,0.06,,,UV,3.1488447614986394e-11,,,,0.004,,,1905460717.9632444,,,Li 2016
020127,6.99,2.410344827586207,L,,STIS,,,,,1.9,Irregular,L,,,,2.7,,,UV,1e-11,,,,,,,323593656929.6281,,,"Conselice 2005, Wainwright 2005"
020305,250.0,65.78947368421053,L,SN,HETE2,,,,,2.8,Interacting,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005, SNTABLE"
020321,70.0,,L,,BeppoSAX,,,,,,Interacting,,,,,,,,,,,,,,,,,,,"Wainwright 2005, in't Zand 2004"
020322,11.0,,L,,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,Conselice 2005
020331,179.4,,L,,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
020405,40.0,23.65464222353637,L,SN,WFPC2,,,,,0.691,Interacting,L,26.0,,,14.1,,0.29,H beta,7.600000000000001e-10,,,0.6918309709189363,0.2553151386787697,0.2201798684369714,log(O/H),5623413251.903491,2461135591.7351117,4376586748.096509,"Conselice 2005, Levesque 2010, Mannucci 2011, SNTABLE"
020410,1500.0,,L,SN,STIS,,,,,,Elliptical,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005, SNTABLE"
020427,66.0,,L,,STIS,,,,,,Interacting,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
020813,90.0,39.91130820399113,L,,HETE2,,,,,1.255,Interacting,L,3.9,,,6.76,,,[OII],1.479e-08,,,,,,,2511886431.509582,439305395.5144859,11291887359.780428,"Conselice 2005, Leibler 2010, Wainwright 2005"
020819,20.0,14.184397163120568,L,,Hete,,,,,0.41,,,,,,23.6,,,O[II],5.283381887021276e-10,,,2.041737944669532,0.4199278473105987,0.528657838099333,log(O/H),44668359215.09635,15828044183.830236,24514737876.79728,"Levesque 2010, Hurley 2002"
020819B,20.0,14.184397163120568,L,,Ulysses,,,,,0.41,,L,,,,12.5,0.17,0.17,H alpha,4.0000000000000007e-10,,,1.9498445997580451,0.2902576923204847,0.341023053009728,E,31622776601.683792,8714100074.006092,12028806622.332865,Li 2016
020903,3.3,2.6378896882494005,L,SN,ACS,,,,,0.251,Interacting,L,4.2,,,1.7,,0.08,O[II],3.57e-09,,,0.2398832919019494,0.0493372201056242,0.0621118801382524,log(O/H),616595001.861481,261781612.6279064,338397584.15995204,"Conselice 2005, Levesque 2010, Mannucci 2011, Wainwright 2005, SNTABLE"
021004,57.7,17.363827866385797,L,,HETE2,,,,,2.323,Irregular,L,3.1,,,40.0,7.0,7.0,H alpha,2.52e-09,,,1.0,,,A,15848931924.611109,5377646444.102123,8139397265.583742,"Conselice 2005, Wainwright 2005"
021211,4.23,2.1086739780658026,L,SN,ACS,,,,,1.006,Spiral,L,3.7,,,1.4,,,[OII],7.000000000000002e-11,,,,,,,20892961308.54041,15995173114.855951,68232132504.834366,"Conselice 2005, Wainwright 2005, SNTABLE"
030115,20.33,6.776666666666666,L,,ACS,,,,,2.0,Elliptical,L,,,,1.6,,,UV,2e-11,,,,,,,74131024130.09161,,,"Conselice 2005, Wainwright 2005"
030226A,76.23,25.52913596784997,L,,HETE-2,,,,,1.986,,L,,,,,,,,,,,0.0524807460249772,,,A/Fe,,,,Li 2016
030323,26.0,5.946935041171089,L,,HETE2,,,,,3.372,Elliptical,L,4.0,,,1.12,0.09,0.09,Lya,6.595048939982591e-10,,,0.0478630092322638,,,A/S,1698243652.461746,,,"Conselice 2005, Wainwright 2005"
030328,100.0,39.68253968253968,L,,HETE2,,,,,1.52,,L,,,,3.2,,,UV,4.730000000000001e-09,,,,,,,1995262314.9688828,471909180.9250287,1562638163.176356,Leibler 2010
030329,25.0,21.4041095890411,L,SN,HETE2,,,,,0.168,Spiral,L,1.9,,,1.2,,,O[II],2e-09,,,0.2754228703338174,0.0566467079388613,0.0713139801187149,log(O/H),81283051.61640996,51770959.349746116,25868878.907350525,"Conselice 2005, Levesque 2010, Wainwright 2005, SNTABLE"
030429A,12.95,3.5401858939311097,L,,HETE-2,,,,,2.658,,L,,,,0.15,,,Lya,,,,0.0741310241300917,0.004,,A/Si,,,,Li 2016
030528,60.0,33.67003367003367,L,,HETE2,,,,,0.782,,L,,,,12.1,,0.19,O[II],1.508e-08,,,0.5128613839913658,0.1054811061872519,0.1327928450432904,log(O/H),1288249551.6931322,580303767.3089949,899512072.2564199,"Levesque 2010, Mannucci 2011"
031203,10.38,9.39366515837104,L,SN,HETE-2,,,,,0.105,,L,,,,4.8,,0.05,O[II],1.9190000000000002e-08,,,0.3801893963205612,0.0781942242803593,0.0984406960020767,log(O/H),181970085.86099824,117404662.95753276,330891298.1303655,"Levesque 2010, Mannucci 2011, SNTABLE"
040812,20.0,,L,,INTEGRAL,,,,,,,,2.283,,1.057,,,,,,,,,,,,,,,"Blanchard 2016, Gotz 2004"
040912A,9.21,3.593445181428015,L,,HETE-2,,,,,1.563,,L,,,,6.3,0.4,0.4,[OII],,,,,,,,,,,Li 2016
040924,3.37,1.812802582033351,L,SN,HETE-2,,,,,0.859,Irregular,L,2.197,,0.116,1.02,,0.58,H beta,5.400000000000001e-10,,,0.3467368504525324,0.1729567675775944,0.2028040234050924,log(O/H),1584893192.4611108,908810217.069129,2130459098.5106015,"Blanchard 2016, Mannucci 2011, Wainwright 2005, SNTABLE"
041006,22.08,12.897196261682245,L,SN,HETE-2,,,,,0.712,Irregular,L,2.536,,0.061,0.34,,,[OII],7.4e-10,,,,,,,457088189.6148752,395428689.428727,2931353371.7771454,"Blanchard 2016, Wainwright 2005, SNTABLE"
041219A,520.0,396.9465648854962,L,,Swift,,,,,0.31,,L,,,,,,,,,,,,0.26,,,5011872336.272715,,,Li 2016
050126A,48.0,20.960515628684465,L,,Swift,,,,,1.29002,,L,,,,,,,,,,,,,,,,,,Li 2016
050215B,10.62,2.9337016574585633,L,,Swift,0.8394021109343428,1.3874587080689578,1.1899263168446237,1.4175879490225611,2.62,,L,,,,,,,,,,,,,,,,,,Li 2016
050219A,23.84,19.68620974401321,L,,Swift,,,,,0.211,,L,,,,0.06,0.02,0.01,[OII],1e-11,,,,,,,9549925860.214369,,,Li 2016
050223,22.5,14.204545454545451,L,,Swift,1.1344886074364078,3.7120163792627183,2.451264221986872,2.16067768853666,0.584,,L,,,,4.2,,0.64,H beta,3.1e-10,,,1.2022644346174132,0.443686859588228,0.3112968138187939,log(O/H),5370317963.702533,3026089148.382605,6932369744.421279,Mannucci 2011
050315,95.6,32.40677966101695,L,,Swift,0.9426923284881362,2.0223210107565746,1.5688451893608288,1.6642176264199573,1.95,,L,0.953,,0.474,7.57,0.17,0.17,Literature,1.2855704449135414e-09,,,,,,,5888436553.555884,,,"Blanchard 2016, Perley 2016, Schneider 2022"
050318,32.0,13.095432967752496,L,,Swift,1.0806881049091808,3.163005189777197,2.1791652102643218,2.01646080896528,1.4436,,L,,,,,,,,,,,,,,,426579518.8015934,,,Perley 2016
050319,152.5,35.94578668238067,L,,Swift,1.0465496422984129,2.8464263489162804,2.0166006996646604,1.9269040073778432,3.2425,,L,,,,19.7,,,UV,3.27e-09,,,0.1698243652461744,,,A/S,4897788193.684457,4163508724.080703,13472850136.836843,Perley 2016
050401,33.3,8.538461538461538,L,,Swift,1.527917736537361,10.01705292968624,5.091667738522279,3.3324226931623,2.9,,L,0.638,,0.397,3.17,,,Literature,7.781427262721555e-10,,,0.0851138038202376,,,A/Zn,4073802778.041122,,,"Blanchard 2016, Perley 2016, Schneider 2022"
050408,28.39,12.674107142857142,L,,HETE-2,,,,,1.24,,L,1.263,,0.239,,,,Literature,,,,,,,,2344228815.3199177,995265932.7282672,1457665147.885695,"Blanchard 2016, Schneider 2022"
050416,6.62,4.005324298160697,L,,Swift,,,,,0.6528,,L,0.26,,0.09,2.0,1.2,0.43,H alpha,6.5e-10,,,0.8511380382023759,0.3141062418321226,0.2708804160995848,log(O/H),6918309709.189363,5659384297.395197,31100629922.866768,Mannucci 2011
050502A,17.5,3.6511579386605466,L,,Swift,,,,,3.793,,L,,,,6.5,,,UV,3.2577170185772652e-09,,,,,,,1995262314.9688828,,,Li 2016
050505A,58.88,11.162508531129143,L,,Swift,,,,,4.2748,,L,,,,3.5,,,Lya,,,,0.0630957344480193,,,A/S,,,,Li 2016
050509B,0.024,0.0195950359242325,S,,Swift,1.652189893233157,13.043677611901677,6.186285545534911,3.7442945092885296,0.2248,Elliptical,Q,55.19,12.2,12.43,2.6302679918953817,0.0,0.9178659004403732,SED,9.120108393559116e-12,0.0,5.334289313900165e-12,0.5128613839913648,0.0116741503640925,0.0119460762584078,SED,288403150312.66113,170913394818.7081,83132078784.51166,"Fong 2022, Jeong 2024, Kann 2011, Li 2016, Nugent 2022"
050509b,0.073,0.0595918367346938,S,,Swift,,,,,0.225,,,,,,,,,,,,,,,,,398107170553.49695,,,Leibler 2010
050525,8.84,5.503330635622238,L,SN,Swift,,,,,0.6063,,L,0.185,,0.046,0.07,0.05,0.21,H alpha,5.6e-10,,,,,,,125892541.1794166,94269764.57773282,375294692.4478549,"Blanchard 2016, Aimuratov2023"
050709,0.07,0.0603084345653485,S,LC KN,HETE-2,,,,,0.1607,Irregular,SF,3.76,0.005,0.056,16.218100973589298,14.480300144839925,104.008342488152,SED,7.943282347242822e-11,7.092144309040444e-11,8.118181146613196e-10,0.5623413251903491,0.0128004513327245,0.0130986121468078,SED,776247116.6286927,413169061.85859096,669192654.1172353,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
050714B,46.87,13.631736614024373,L,,Swift,0.7597663704401164,1.0064445467306091,0.9404374427259818,1.237798196018082,2.4383,,L,,,,12.9,5.3,14.0,H alpha,,,,,,,,,,,Li 2016
050724,1.0,0.7974481658692185,S-EE,LC KN,Swift,1.0466703980686622,2.8474762547329893,2.017111962290361,1.9271701636086949,0.254,Elliptical,SF,2.76,0.024,0.024,3.2359365692962827,2.3026822684992916,385.8092084249842,SED,3.311311214825908e-11,2.3780569140289192e-11,2.3955216078046593e-08,0.2344228815319922,0.020626672581769,0.0226166967448941,SED,100000000000.0,86510371174.08344,38038426460.288666,"Fong 2022, Li 2016, Barthelmy 2005"
050730,156.5,31.493369287424784,L,,Swift,1.403007511376981,7.522811965326372,4.122874121735828,2.938597326317544,3.9693,,L,,,,0.3,,,UV,1.0402105513575927e-10,,,0.0109647819614318,0.002453401579408,0.0031605934847956,A/S,2884031503.1266117,,,Perley 2016
050802,19.0,7.010552726736035,L,,Swift,1.4323521923615707,8.06306176399904,4.339102598922415,3.0293545275121057,1.7102,,L,,,,,,,,,,,,,,,1000000000.0,,,Perley 2016
050803,87.9,16.58490566037736,L,,Swift,1.5237368469354828,9.925442193102706,5.057197019411718,3.318943838355473,4.3,,,,,,,,,,,,,,,,,3388441561.3920207,,,Perley 2016
050813,0.38,0.2210587550901687,S,,Swift,1.7263149693695563,15.135258372206088,6.90366780576951,3.999077762901345,0.719,Elliptical,Q,43.57,,17.37,4.466835921509632,0.0,10228.463086886026,SED,1.3803842646028866e-11,0.0,1.1735171706749272e-08,1.288249551693134,0.2411210036422344,0.1571902190527934,SED,16218100973.58933,11206228637.316595,46877633474.43009,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
050814,150.9,23.952380952380953,L,,Swift,1.1919279762445725,4.370788597595108,2.7642663945039145,2.319155561071178,5.3,,L,,,,,,,,,,,,0.3,,,16595869074.375631,5560171155.357381,16035708774.826576,Perley 2016
050819A,37.72,10.764225786199418,L,,Swift,,,,,2.5042,,L,,,,22.0,15.0,426.0,H beta,,,,,,,,,,,Li 2016
050820,26.0,7.192871311232775,L,,Swift,,,,,2.61469,,L,3.53,,0.081,,,,,,,,0.1737800828749375,0.0449551277056241,0.0606427986570546,A/S,1778279410.0389228,656260955.7369576,26405549902.60557,Blanchard 2016
050822,103.4,42.48151191454396,L,,Swift,0.7976639511311515,1.177036531528061,1.054726689664272,1.3222694697041089,1.434,,L,,,,,,,,,,,,,,,7079457843.841373,,,Perley 2016
050824,22.6,12.363238512035013,L,SN,Swift,0.5771648958896842,0.4199231754624671,0.4960551595836656,0.8594686945036909,0.828,,L,3.597,,0.41,0.941,0.26,0.3,O[II],,,,0.5128613839913658,0.1054811061872519,0.1327928450432904,log(O/H),,,,"Blanchard 2016, Levesque 2010, SNTABLE"
050826,35.5,27.391975308641975,L,,Swift,1.7005528675338997,14.38301180261228,6.64890136638104,3.909846905273292,0.296,,L,,,,2.94,,0.1,O[II],1.48e-09,,,1.3803842646028863,0.2839060684596992,0.3574165641464897,log(O/H),12589254117.941662,5670944408.752299,8303707190.598747,"Levesque 2010, Mannucci 2011"
050904,174.2,23.8793694311172,L,,Swift,1.7020412444893929,14.426466126650702,6.663618293466888,3.9150745112912655,6.295,,L,0.774,,0.205,,,,,,,,0.1,,,A/S,11748975549.395304,,,"Blanchard 2016, Perley 2016"
050906,0.128,0.1241753977493209,S,,Swift,1.239253157533161,4.991257900743184,3.0483162025048887,2.4598010374029,0.0308,,Q,,,,7.943282347242816,0.0,4065.859495693883,SED,7.413102413009163e-12,0.0,1.070777994996304e-08,,,,SED,16982436524.61746,10956840663.873869,19325368952.392715,Jeong 2024
050908,19.4,4.4631559573929644,L,,Swift,1.1230518622236294,3.590212437818863,2.391883255528862,2.129806588622685,3.3467,,L,0.275,,0.405,0.7,,,UV,3.5083106353909e-10,,,,,,,1995262314.9688828,,,Blanchard 2016
050915A,53.42,15.143869596031184,L,,Swift,,,,,2.5275,,L,,,,196.0,174.0,1563.0,H beta,5.4e-09,,,,,,,36307805477.01018,8765518443.628433,19926327042.024727,Li 2016
050922B,150.9,25.57627118644068,L,,Swift,0.9239960304620896,1.8945225185120715,1.4954428928150088,1.6184516421213837,4.9,,,,,,,,,,,,,,,,,12022644346.174131,,,Perley 2016
050922C,4.54,1.4191047761940483,L,,Swift,1.5619964258196728,10.790712833936698,5.378733895143437,3.443499489648892,2.1992,,L,,,,,,,,,,,0.013182567385564,0.0036326415253497,0.0050144412005357,A/S,1023292992.2807536,,,"Li 2016, Perley 2016"
051001,189.1,55.13762537905295,L,,Swift,0.985734472428282,2.3394300140860547,1.745982787736515,1.7712506121810057,2.4296,,L,,,,110.0,59.0,124.0,H alpha,9.14940148212938e-09,,,,,,,12022644346.174131,,,Perley 2016
051006,34.8,16.901408450704224,L,,Swift,,,,,1.059,,L,,,,,,,,,,,,,,,38018939632.05613,,,Perley 2016
051008A,64.0,16.97612732095491,L,,Swift,,,,,2.77,,L,,,,72.1,54.4,25.5,SED,1.4720000000000002e-08,,,,0.2,,,4897788193.684457,823985415.6433349,126927885661.956,Li 2016
051016B,4.02,2.076660812067362,L,,Swift,,,,,0.9358,,L,2.023,,1.532,10.2,2.0,2.6,H alpha,,,,0.3801893963205612,0.1403061044186121,0.1568424000496914,E,,,,"Blanchard 2016, Li 2016"
051022,178.0,98.50581073602656,L,,HETE-2,,,,,0.807,,L,1.283,,0.932,271.0,10.0,0.15,O[II],2.28e-09,,,0.8511380382023759,0.1750550628103939,0.2203812670352289,log(O/H),26302679918.953815,2860391765.754635,3209412347.710087,"Blanchard 2016, Levesque 2010, Mannucci 2011"
051109B,13.38,12.38888888888889,L,,Swift,1.0147288402674204,2.572408602672642,1.872103785779028,1.8449301049585385,0.08,,L,,,,,,,,,,,,,,,,,,Li 2016
051111A,64.0,25.09803921568628,L,,Swift,,,,,1.55,,L,,,,30.0,,,UV,,,,,,,,,,,Li 2016
051117B,9.01,6.085781830462682,L,,Swift,,,,,0.4805,,L,,,,4.7,2.2,4.9,H alpha,,,,2.041737944669529,0.6292004000467748,0.9094712819968565,E,,,,Li 2016
051210,1.3,0.3631284916201117,S,,Swift,1.931123789573703,22.17430546376648,9.152508701339178,4.739472814096294,2.58,,SF,29.08,14.4,16.34,1.6982436524617444,1.5752167753805062,24.00571417522689,SED,2.818382931264449e-09,2.077072689963533e-09,2.1728706225585783e-08,0.6309573444801932,0.3219278012288342,0.4405619607574131,SED,208929613.0854041,187051996.84590855,303931770.90596175,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
051221,1.4,0.9049773755656108,S,,Swift,,,,,0.547,,SF,2.08,0.18,0.19,1.9498445997580451,1.7838859090142891,3.1787692401556034,SED,3.54813389233576e-10,3.1590887473414803e-10,7.67205065068389e-10,0.1071519305237606,0.0048226312956852,0.0103378249701923,SED,2511886431.509582,512185469.9489356,1009269144.9391056,Leibler 2010
051227,1.676,,S-EE,,Swift,1.5000656244662394,9.416294169391495,4.864745877495003,3.2430220372698697,,,,0.4,0.16,0.16,,,,,,,,,,,,,,,"Kann 2011, Lien 2016"
060111A,13.21,3.978915662650603,L,,Swift,1.3002299190686075,5.834853776781525,3.4192442589864456,2.6297227965925822,2.32,,L,,,,,,,,,,,,,,,,,,Li 2016
060115,139.6,30.797740910695374,L,,Swift,1.2272413923929038,4.8149324184979205,2.9683157399357616,2.418689394225916,3.5328,,L,2.042,,0.471,2.1,,,UV,7.802239811040631e-10,,,0.0295120922666638,,,A/S,2691534803.9269137,,,"Blanchard 2016, Perley 2016"
060121,2.61,0.9666666666666666,S,,HETE-2,,,,,1.7,,S,1.02,0.39,0.39,,,,,,,,,,,,,,,Kann 2011
060123A,900.0,576.9230769230769,L,,Swift,,,,,0.56,,L,,,,,,,,,,,,,,,,,,Li 2016
060124,300.0,90.90909090909092,L,,Swift,1.1378629586124105,3.749039786586192,2.4691641312114223,2.170001327947693,2.3,,L,0.278,,0.291,,,,Literature,,,,,,,,501187233.6272715,356643256.5526787,977921154.5409358,Li 2016
060202,198.9,111.42857142857142,L,,Swift,1.1734644405473804,4.150782171331808,2.6611538738045946,2.2677754705232127,0.785,,L,,,,5.8,2.0,1.1,SED,5.2900000000000006e-09,,,,,,,2089296130.8540409,96478196.14318275,641322632.6061864,Perley 2016
060204B,139.46,41.76324379360944,L,,Swift,,,,,2.3393,,L,,,,78.0,34.0,85.0,H alpha,4.0003187951326535e-09,,,,,,,19498445997.580418,,,"Li 2016, Perley 2016"
060206,7.6,1.503194287861706,L,,Swift,1.268877884561599,5.379477757514074,3.2206227659766165,2.538166048255583,4.0559,,L,2.021,,0.888,1.2,,,UV,5.743561107871657e-10,,,0.1819700858609983,,,A/S,2089296130.8540409,,,Blanchard 2016
060210,255.0,51.91156711860266,L,,Swift,1.4311994261774166,8.041557601623973,4.330521383226732,3.0257987140150697,3.9122,,L,,,,45.5,,,UV,3.3e-09,,,0.1479108388168207,,,A/Si,28840315031.266117,7196908165.952902,15036472385.237251,Perley 2016
060218,2100.0,2030.9477756286267,L,SN,Swift,0.8802989014536912,1.6186026329917569,1.3323247044968212,1.5134912724492469,0.034,,L,0.115,,0.03,0.03,,0.1,O[II],8.3e-10,,,0.3311311214825921,0.0681043222930528,0.0857382619877442,log(O/H),234422881.53199175,64598516.28581786,89170775.3976363,"Blanchard 2016, Levesque 2010, Mannucci 2011, Perley 2016, SNTABLE"
060223,11.32,2.0939696633370333,L,,Swift,,,,,4.406,,L,0.749,,1.186,1.1,,,UV,,,,0.0158489319246111,,,A/S,,,,Blanchard 2016
060306,61.2,23.91559202813599,L,,Swift,1.1824153700241318,4.2561812928138005,2.710754246218436,2.2925566725025845,1.559,,L,,,,17.6,11.0,83.6,H alpha,2.22e-09,,,,,,,31622776601.683792,863824503.4014482,1829089862.3152895,Perley 2016
060313,0.74,,S,,Swift,2.4903481395389995,53.23656009576743,17.486787688568207,7.021824543698244,,,S,2.6,0.5,0.55,,,,,,,,,,,,,,,"Fong 2022, Kann 2011"
060319A,8.91,4.102209944751382,L,,Swift,,,,,1.172,,L,,,,8.3,4.3,6.9,SED,3.9000000000000005e-10,,,,,,,21379620895.022324,3182612308.922497,8819896308.997868,Li 2016
060418,103.1,41.40395968033412,L,,Swift,1.24749852058875,5.084052757006584,3.0894415471871235,2.476509187144429,1.4901,,L,3.419,,0.04,,,,,,,,0.0223872113856834,,,A/Si,,,,Blanchard 2016
060502B,0.131,0.1017871017871017,S,,Swift,2.021623804142056,25.935819754103186,10.275666489052416,5.082877668930715,0.287,Elliptical,Q,71.0,15.9,15.9,1.1481536214968828,0.0,3.2170047009047753,SED,9.549925860214368e-12,0.0,3.8313083372049436e-11,,,,SED,120226443461.74132,87113331313.48224,38262875784.36977,"Jeong 2024, Kann 2011, Li 2016"
060505,4.0,3.6717459151826697,S-EE,LC KN,Swift,1.7021587756483447,14.42846324473256,6.664384779358824,3.9152544843064887,0.0894,Spiral,SF,7.16,0.33,0.062,2.51188643150958,2.0106991978823077,20.930401721689645,SED,1.1748975549395303e-09,1.0460725997702172e-09,2.2813431635255416e-08,0.8128305161640995,0.1671762871294432,0.2104624761166541,SED,2137962089.5022328,1306198318.3995616,2990651750.4114265,"Blanchard 2016, Jeong 2024, Kann 2011, Mannucci 2011, Ofek 2007, Thone 2008, Xu 2009"
060510B,262.95,44.56779661016949,L,,Swift,1.1768475404545664,4.19044444698877,2.6798482428331623,2.277141388933056,4.9,,L,,,,12.0,,,UV,1.8585799426949755e-09,,,0.1445439770745927,,,A/S,6456542290.346562,,,"Li 2016, Perley 2016"
060512A,11.36,7.87357915164957,L,,Swift,,,,,0.4428,,L,,,,,,,,,,,,,,,,,,Li 2016
060522,71.1,11.636661211129296,L,,Swift,1.3784782913936602,7.0916937144938,3.947480012570113,2.863650474015922,5.11,,L,,,,,,,,,,,,,,,2041737944.6695316,,,Perley 2016
060526,298.2,70.6417454338711,L,,Swift,1.0275898345909371,2.680648924458836,1.929521954657656,1.877716078639256,3.2213,,L,,,,0.4,,,UV,2.004748934509086e-10,,,0.2691534803926916,0.1177973555490707,0.2094766119299468,A/S,1995262314.9688828,,,Perley 2016
060602A,74.68,41.79071068830443,L,,Swift,1.7184230548075845,14.901506350940918,6.824958978458431,3.971640719882356,0.787,,L,,,,,,,,,,,,,,,,,,Li 2016
060604A,96.0,30.617126455110828,L,,Swift,,,,,2.1355,,L,,,,7.2,3.6,9.4,H alpha,,,,0.2570395782768864,0.1422242161271981,0.2327392410915598,E,,,,Li 2016
060605,79.1,16.5723863398282,L,,Swift,,,,,3.773,,L,0.18,,0.294,2.07,0.33,0.33,Lya,9.461725525027915e-10,,,,,,,2187761623.949552,,,Blanchard 2016
060607,102.98,25.271785810694745,L,,Swift,,,,,3.0749,,L,,,,0.1,,,UV,5.888436553555884e-11,,,,,,,1698243652.461746,,,Blanchard 2016
060614,6.0,5.333333333333333,S-EE,HC KN,Swift,0.97503464264692,2.257355046701345,1.7007480404015316,1.7442949881088554,0.125,Dwarf,SF,0.7,0.22,0.79,0.0084,94.56682806178844,1310.2082453946773,H alpha,1.0964781961431828e-10,1.0133018190329162e-10,1.5885958328474207e-09,0.05,0.0338663693496678,0.0575734882417831,SED,89125093.8133746,31581100.07965893,31101349.64836672,"Della Valle 2007, Gal-Yam 2007, Yang 2015, Barthelmy 2006, Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
060707,66.2,14.963833634719713,L,,Swift,,,,,3.424,,L,,,,19.9,14.3,48.0,[OII],2.23e-09,,,0.0204173794466952,,,A/Fe,9772372209.558111,5281728833.636438,12965106858.158075,Perley 2016
060714,115.0,30.990621968308723,L,,Swift,1.0757962500077471,3.116090567598304,2.155361180729336,2.003503154722667,2.7108,,L,,,,0.8,,,Lya,4.4987306015227925e-10,,,0.1071519305237606,,,A/Zn,1778279410.0389228,,,Perley 2016
060719,66.9,26.442687747035578,L,,Swift,1.0782265903929114,3.139352025653946,2.167105823115965,2.009879780766917,1.53,,L,1.743,,0.684,7.1,3.9,18.9,Literature,5.6e-10,,,0.831763771102671,0.3531336787800326,0.4864929674537362,E,6918309709.189363,4460948956.300667,900374707.974844,"Blanchard 2016, Perley 2016, Schneider 2022"
060729,115.3,74.73424941664506,L,SN,Swift,1.2404520350714514,4.989303271279511,3.0469825988322303,2.4563485831652656,0.5428,,L,2.149,,0.265,0.96,0.69,2.21,H alpha,7.1e-10,,,,,,,204173794.46695316,226944428.28969073,130145505.5765512,"Blanchard 2016, Perley 2016, SNTABLE"
060801,0.49,0.2299389957766306,S,,Swift,,,,,1.131,,SF,10.25,12.6,10.92,38.90451449942807,35.593203284602154,25.660908404037492,SED,2.0892961308540408e-08,1.9344144689627922e-08,3.654127848309927e-09,0.7585775750291838,0.1831376376920268,0.1964150109922522,SED,1862087136.6628656,713933515.1659863,2708794759.4858866,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
060805A,4.93,1.4658222579014657,L,,Swift,0.9293943554498124,1.9309010748434488,1.516526345103221,1.6317361260164378,2.3633,,L,,,,9.0,2.5,3.9,H alpha,,,,,,,,,,,Li 2016
